Heart disease_number,diabetes_number,Two or more races pop,0-9,20-29,30-39,40-49,50-59,80+,Unemployed_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Total Specialist Physicians (2019),STATE_NAME_N
33226,78586,16578,101612,112176,119720,101345,95370,19943,16073,346.2935907,239.2770044,10.42836358,919.7097483,10
3907,5519,995,7475,7135,6697,7070,8159,2336,1641,30.22433885,11.190863,0.970942497,114.0206802,35
2267,3595,337,3547,3492,3525,3993,4777,1483,609,16.51505273,4.041476847,0.631331294,41.63916856,14
595,850,148,1516,1109,1110,1021,1337,772,126,5.727110206,2.901921858,0.484816272,13.29931255,16
272,393,73,349,293,379,285,458,208,69,1.795114898,0.909583188,0.151961614,4.168558529,16
1149,2028,1203,3751,6607,3819,3072,3153,782,476,15.32186645,7.192175808,0.328472349,40.21049006,46
379,534,147,685,522,585,596,705,294,60,1.525657741,1.737442237,0.16861823,6.28878549,36
16378,18842,2507,11559,12253,11768,13115,19916,13329,2485,85.84321052,42.31736907,1.507117855,202.1274236,9
810,1188,202,1832,1605,1767,1726,2255,814,268,7.713288063,4.85294374,0.340134578,25.12978538,23
669,915,141,1282,1285,1233,1098,1412,722,137,5.809804548,4.570008936,0.517044807,15.26116123,27
1088,1628,180,1703,1769,1612,1846,2316,481,289,9.539895023,3.205976991,0.341407286,20.99167085,17
2112,3197,457,3862,3992,3129,3227,3130,1182,467,15.81027568,7.793851918,0.277575228,37.22705931,9
821,1381,125,888,1272,1214,1193,1170,460,141,3.890546067,0.623083623,0.262350999,10.84284754,3
2632,3715,353,3165,3496,3208,3817,4413,1567,824,16.0587862,11.38775922,0.954662449,47.78426509,48
1109,1603,236,1703,1539,1597,1659,1764,536,246,8.60882123,2.893080345,0.308086649,18.9429277,17
1296,1827,290,2903,2673,2596,2506,2779,1123,289,13.39735659,5.945861169,0.822522413,28.4885517,15
2653,4353,2602,7544,25539,9652,5658,5172,1831,1022,41.56624358,21.06158018,3.518701496,96.52380436,16
187,279,47,222,286,280,280,245,126,28,0.775737588,0.457841891,0.040980885,2.656156843,43
2208,3132,628,3373,4532,4258,3915,4717,1847,719,13.23458357,6.645291608,0.498663536,57.02364195,13
625,889,123,1024,943,958,1027,1250,292,187,5.409814515,1.818022192,0.193602769,11.90380454,17
1204,1707,163,1494,1538,1470,1664,1818,605,216,11.33126953,2.349838774,0.226704244,19.91646068,42
612,897,106,1039,1250,1130,1071,1208,348,111,3.05017674,1.800220474,0.161135599,10.4439284,43
326,490,80,585,535,597,516,617,253,217,1.939688811,1.282412321,0.086779781,5.939593908,44
3189,4418,703,5218,5126,5468,5543,7544,2610,999,31.33679309,22.09801768,0.412489704,121.5304002,32
1532,2408,1076,3629,4091,3636,3276,3497,1132,427,14.77721047,6.936511036,0.316795937,38.78110261,46
